signal_id,version,trade_id,side,entry_id,entry_time,entry_price,qty,level_snapshot,trend_mode_at_entry,breakout_context,reverse_context,signal_bar_index,signal_open,signal_high,signal_low,signal_close,signal_volume,rsiVal,atr_,atrPct,smoothMid,midHigh,midLow,smoothRes,smoothSup,zoneOffset,channelWidth,signal_hour,signal_month,candle_direction,candle_body_pct,atr_pct_bucket,rsi_bucket
11,v17,11,long,Long1,2024-01-22 10:00:00,40792.13,0.04696531820615226,1,0,,,2056,40744.86,40852.1,40706.07,40792.1,674.47235,37.727022950576895,103.83339436146322,0.0025454290012395346,41534.016058717934,42564.85948284554,40503.172634590344,43595.702906973136,39472.329210462754,329.8698957208305,4123.373696510382,10,2024-01,bullish,0.11580673708879406,q1_low,"(30.0, 40.0]"
12,v17,12,long,Long1,2024-01-22 19:45:00,39820.34,0.024062582879112036,1,0,,,2095,39559.9,39834.47,39559.89,39820.31,1123.54115,33.39098925203709,156.32161972959932,0.003925675609496745,41483.13024098696,42514.57177816166,40451.688703812266,43546.013315336364,39420.24716663758,330.06129189590285,4125.766148698785,19,2024-01,bullish,0.653962764227592,q3,"(30.0, 40.0]"
13,v17,13,long,Long1,2024-01-23 07:45:00,39780.03,0.024091813664989088,1,0,,,2143,39758.23,39799.99,39665.02,39780.0,540.35207,37.51405766667628,150.45781426470515,0.0037822477190725275,41301.27763082353,42323.6110265677,40278.944235079354,43345.94442231187,39256.61083933517,327.14668663813615,4089.333582976702,7,2024-01,bullish,0.05472599296127903,q3,"(30.0, 40.0]"
14,v17,14,long,Long2,2024-01-23 19:00:00,39156.21,0.09774547755856094,2,0,,,2188,39092.55,39192.94,38981.1,39156.18,780.7474,48.16202458336276,185.42559351845696,0.004735538388026027,40991.87349905772,42009.641015667126,39974.10598244832,43027.40853227653,38956.338465838926,325.68560531500844,4071.0700664376054,19,2024-01,bullish,0.16250308380438894,q4_high,"(40.0, 50.0]"
15,v17,15,short,Short1,2024-01-26 17:45:00,41915.130000000005,0.023428731967503134,1,0,,,2471,41922.26,41946.0,41864.01,41915.16,407.34732,68.67114066600341,138.87320642077813,0.0033131975738796685,39885.70592794815,40810.13507659421,38961.27677930206,41734.564225240276,38036.84763065598,295.8173275667435,3697.7165945842935,17,2024-01,bearish,0.0169389786416145,q2,"(60.0, 70.0]"
16,v17,16,short,Short2,2024-01-26 22:00:00,41838.9,0.09389936341987136,2,0,,,2488,41998.77,42011.75,41821.01,41838.93,916.87842,50.273649584777985,142.2426771025186,0.0033997685194750104,40003.33286671464,40929.342908342565,39077.32282508671,41855.35294997049,38151.31278345877,296.3232133209374,3704.040166511717,22,2024-01,bearish,0.38203653869732446,q2,"(50.0, 60.0]"
17,v17,18,short,Short1,2024-01-27 19:45:00,41910.44,0.023438346031792547,1,0,,,2575,41930.38,41970.95,41910.47,41910.47,156.10686,60.85110869345011,93.39819989397272,0.002228517119802587,40607.83547124594,41550.45879460295,39665.21214788894,42493.08211795996,38722.58882453194,301.6394634742418,3770.4932934280223,19,2024-01,bearish,0.047506028923073915,q1_low,"(60.0, 70.0]"
18,v17,17,short,Short2,2024-01-28 05:15:00,42668.87,0.09191697280330272,2,0,,,2613,42730.8,42842.68,42656.91,42668.9,801.44854,77.65854302825336,93.10921076391624,0.002182132906259975,40863.40765045127,41812.83265314548,39913.982647757046,42762.25765583968,38964.55764506283,303.81600086214837,3797.7000107768545,5,2024-01,bearish,0.14507053146437207,q1_low,"(70.0, 100.0]"
19,v17,19,short,Short1,2024-01-29 02:30:00,42252.11,0.046525809870481535,1,0,,,2698,42264.71,42328.67,42207.85,42252.14,288.65851,61.60214164592637,111.14853174775364,0.0026306012369492677,41511.384285016095,42471.58044262772,40551.18812740448,43431.77660023933,39590.99196979286,307.2627704357175,3840.7846304464692,2,2024-01,bearish,0.02974997242743139,q1_low,"(60.0, 70.0]"
20,v17,20,short,Short1,2024-01-29 19:15:00,43031.770000000004,0.022795987006023217,1,0,,,2765,43065.11,43145.0,43024.41,43031.8,426.65465,63.66307075610007,131.2976644990067,0.003051177605840487,41967.93540391967,42942.76553834167,40993.10526949767,43917.59567276368,40018.275135075666,311.9456430150411,3899.320537688014,19,2024-01,bearish,0.07740787045858567,q2,"(60.0, 70.0]"
21,v17,21,short,Short1,2024-01-30 20:30:00,43685.71,0.022432244309379124,1,0,,,2866,43692.01,43760.0,43565.02,43685.74,761.44332,62.98342484584981,126.24192088905768,0.002889774120549582,42492.40773234297,43482.68433418457,41502.13113050135,44472.960936026175,40511.85452865974,316.8885125893151,3961.1064073664384,20,2024-01,bearish,0.014352509537446486,q2,"(60.0, 70.0]"
22,v17,22,long,Long1,2024-02-01 01:30:00,42056.42,0.04661304309714561,1,0,,,2982,42025.01,42097.6,41884.28,42056.39,630.25401,30.26488639040383,159.65310235526073,0.003796167534951543,42852.32026466298,43857.568745340264,41847.07178398569,44862.81722601755,40841.823303308396,321.6795138167322,4020.9939227091527,1,2024-02,bullish,0.07461410739247325,q3,"(30.0, 40.0]"
23,v17,23,short,Short1,2024-02-08 00:00:00,44343.97,0.022288181301271096,1,0,,,3648,44349.6,44448.52,44331.1,44344.0,630.57524,71.62567422364502,114.0988493412424,0.0025730391787218655,42934.947410709894,43950.065616782405,41919.8292046374,44965.18382285492,40904.71099856491,324.83782594320076,4060.472824290009,0,2024-02,bearish,0.012628540501530183,q1_low,"(70.0, 100.0]"
24,v17,24,short,Short2,2024-02-08 14:15:00,45045.19,0.08762293290501114,2,0,,,3705,45182.0,45189.96,45042.57,45045.22,774.29073,62.40043896909879,112.48344788287083,0.0024971228441746057,43227.5619748889,44241.578717794924,42213.54523198288,45255.595460700955,41199.52848907685,324.48535772992824,4056.0669716241027,14,2024-02,bearish,0.3036504206217637,q1_low,"(60.0, 70.0]"
25,v17,25,short,Short3,2024-02-09 03:15:00,46061.200000000004,0.08484484551304429,3,0,,,3757,46288.73,46288.74,46052.03,46061.23,669.72387,68.908487279756,138.78536433514736,0.003013062489541581,43595.8898172008,44611.60563903501,42580.17399536655,45627.32146086923,41564.4581735323,325.0290629869542,4062.863287336928,3,2024-02,bearish,0.4939077831833843,q2,"(60.0, 70.0]"
26,v17,26,short,Short1,2024-02-09 12:15:00,47259.97,0.020527338082447746,1,0,,,3793,47420.9,47540.0,47198.46,47260.0,1497.07317,74.23529258782872,150.51116014689364,0.0031847473581653333,43964.96004455114,44987.480687001575,42942.43940210071,46010.00132945202,41919.91875965028,327.2066055841389,4090.082569801736,12,2024-02,bearish,0.34045704612780675,q2,"(70.0, 100.0]"
27,v17,27,long,TrendLong,2024-02-09 13:45:00,47465.99,0.20431341685437557,0,1,breakout_up,,3799,47591.6,47640.82,47408.0,47465.96,620.2438,69.3070009519464,156.21758909934672,0.0032911498914031598,44037.210971524255,45063.4758341986,43010.94610884991,46089.74069687295,41984.68124617557,328.40475605579036,4105.059450697379,13,2024-02,bearish,0.26469495191922676,q2,"(60.0, 70.0]"
28,v17,28,short,Short1,2024-02-10 19:45:00,47531.06,0.02044708525049652,1,0,,,3919,47632.82,47660.0,47506.48,47531.09,283.46599,65.19015476509378,127.46987200573848,0.002681820930379221,45699.393358426314,46799.79788523749,44598.98883161516,47900.20241204866,43498.58430480401,352.12944857957194,4401.618107244649,19,2024-02,bearish,0.21402833387579204,q1_low,"(60.0, 70.0]"
29,v17,29,short,Short2,2024-02-10 23:00:00,47818.770000000004,0.08124410629034048,2,0,,,3932,47825.9,47944.81,47818.8,47818.8,417.4123,59.28576552417539,138.47622182692322,0.002895853133640393,45883.24900630403,46987.86169617211,44778.63631643595,48092.474386040194,43674.023626567876,353.47606075778543,4418.450759472318,23,2024-02,bearish,0.014847716797574477,q2,"(50.0, 60.0]"
30,v17,30,short,Short1,2024-02-12 00:30:00,48645.97,0.019901338348522736,1,0,,,4034,48710.38,48826.81,48521.89,48646.0,1205.06911,66.24164400245789,136.7250001972843,0.002810611359562642,47120.98035295558,48233.5224032195,46008.43830269165,49346.06445348342,44895.89625242772,356.0134560844558,4450.168201055698,0,2024-02,bearish,0.13234387205525094,q1_low,"(60.0, 70.0]"
31,v17,31,short,Short1,2024-02-12 17:30:00,49884.11,0.019409561443711688,1,0,,,4102,50046.77,50334.82,49782.14,49884.14,2573.5452,71.30485234152083,170.20677116523908,0.0034120418065789865,47688.38984986131,48813.07373226437,46563.70596745827,49937.75761466743,45439.02208505523,359.8988423689763,4498.735529612204,17,2024-02,bearish,0.3260154429844784,q2,"(70.0, 100.0]"
32,v17,32,short,Short2,2024-02-12 17:30:00,49884.11,0.07763544613056574,2,0,,,4102,50046.77,50334.82,49782.14,49884.14,2573.5452,71.30485234152083,170.20677116523908,0.0034120418065789865,47688.38984986131,48813.07373226437,46563.70596745827,49937.75761466743,45439.02208505523,359.8988423689763,4498.735529612204,17,2024-02,bearish,0.3260154429844784,q2,"(70.0, 100.0]"
33,v17,33,short,Short1,2024-02-13 21:30:00,49618.090000000004,0.03902182075084021,1,0,,,4214,49714.02,49743.34,49569.57,49618.12,344.79157,61.067322549636664,194.82298980078266,0.003926448438610384,48577.338275313436,49735.38670481909,47419.2898458078,50893.43513432474,46261.24141630216,370.57549744180636,4632.19371802258,21,2024-02,bearish,0.1932761660457796,q3,"(60.0, 70.0]"
34,v17,34,short,Short1,2024-02-14 10:00:00,51491.06,0.018808115708697705,1,0,,,4264,51551.1,51585.99,51412.0,51491.09,929.95222,86.86345058018983,189.49220411652686,0.0036800969666116387,48892.06797212503,50056.23037966409,47727.90556458596,51220.392787203156,46563.74315704689,372.53197041250127,4656.649630156266,10,2024-02,bearish,0.11654443516344681,q3,"(70.0, 100.0]"
35,v17,35,short,Short1,2024-02-14 14:15:00,51669.44,0.01874529408833112,1,0,,,4281,51706.99,51707.0,51557.98,51669.47,641.72181,67.21201848000314,199.13056588891857,0.0038539308781165853,49026.06662633685,50199.7875719735,47852.34568070021,51373.508517610164,46678.624735063575,375.5907026037271,4694.883782546589,14,2024-02,bearish,0.07261541486683877,q3,"(60.0, 70.0]"
36,v17,36,short,Short1,2024-02-15 00:45:00,52321.17,0.01850420708808394,1,0,,,4323,52358.0,52418.0,52304.89,52321.2,513.67071,72.76766101062378,201.46956710028493,0.0038506297084219196,49458.53583650818,50647.03729187159,48270.03438114475,51835.538747235005,47081.532925781336,380.32046571629354,4754.005821453669,0,2024-02,bearish,0.07033477825432695,q3,"(70.0, 100.0]"
37,v17,37,short,Short1,2024-02-15 10:45:00,52286.67,0.018520130419261364,1,0,,,4363,52290.26,52344.16,52262.79,52286.7,321.29147,60.59319713466914,188.3280420883337,0.0036018345408743275,49942.41965410481,51138.50828141429,48746.33102679531,52334.59690872377,47550.24239948582,382.748360739036,4784.35450923795,10,2024-02,bearish,0.006808614810276702,q2,"(60.0, 70.0]"
38,v17,38,short,Short2,2024-02-15 10:45:00,52286.67,0.07407785052935364,2,0,,,4363,52290.26,52344.16,52262.79,52286.7,321.29147,60.59319713466914,188.3280420883337,0.0036018345408743275,49942.41965410481,51138.50828141429,48746.33102679531,52334.59690872377,47550.24239948582,382.748360739036,4784.35450923795,10,2024-02,bearish,0.006808614810276702,q2,"(60.0, 70.0]"
39,v17,39,short,Short1,2024-02-16 03:45:00,52280.22,0.018518516798500882,1,0,,,4431,52319.99,52328.0,52226.4,52280.25,247.3418,60.20235787644172,191.52638423224656,0.003663455783632377,50717.41486004921,51920.62168085341,49514.208039245,53123.82850165761,48311.00121844078,385.0261826573464,4812.8272832168295,3,2024-02,bearish,0.07601340850511994,q3,"(60.0, 70.0]"
40,v17,40,long,Long1,2024-02-17 14:45:00,50841.119999999995,0.038081256027864746,1,0,,,4571,50771.32,50888.88,50625.0,50841.09,815.86807,19.8184955593032,137.88890114002564,0.0027121546988867792,51815.283866100246,53035.11163179361,50595.45610040686,54254.939397486974,49375.628334713474,390.34488502188003,4879.3110627735,14,2024-02,bullish,0.13723151883643095,q1_low,"(-0.001, 30.0]"
41,v17,41,long,Long1,2024-02-21 15:00:00,50949.11,0.03829894457516605,1,0,,,4956,50930.0,51059.6,50841.1,50949.08,764.81207,38.96493315776483,176.35787268120237,0.0034614535273493133,51917.94262859067,53144.78851137822,50691.09674580312,54371.63439416577,49464.25086301558,392.5906824920152,4907.38353115019,15,2024-02,bullish,0.03744915511723027,q2,"(30.0, 40.0]"
42,v17,42,short,Short1,2024-02-26 16:15:00,53256.590000000004,0.018316886813404293,1,0,,,5441,53509.44,53541.1,53099.26,53256.62,1874.84111,80.68964562940968,124.56159810433795,0.0023388941713600665,51323.46440399119,52544.072719600794,50102.85608838161,53764.68103521039,48882.247772772025,390.59466099506943,4882.433262438368,16,2024-02,bearish,0.47472032584869206,q1_low,"(70.0, 100.0]"
43,v17,43,short,Short1,2024-02-26 23:00:00,54554.53,0.017836449362605814,1,0,,,5468,54659.78,54659.79,54541.1,54554.56,378.3465,66.2297486400993,160.42250874788283,0.0029405884448134643,51453.68984425295,52698.696350156446,50208.68333834947,53943.70285605995,48963.67683244598,398.4020818891178,4980.026023613973,23,2024-02,bearish,0.1928711367115804,q2,"(60.0, 70.0]"
44,v17,44,long,TrendLong,2024-02-27 02:00:00,56355.159999999996,0.1724805248883987,0,1,breakout_up,,5480,55768.41,57073.84,55592.0,56355.13,4129.4685,85.56024956369014,187.8630427227635,0.0033335570820751106,51557.542629457304,52813.3634430308,50301.7218158838,54069.184256604305,49045.9010023103,401.8626603435207,5023.283254294009,2,2024-02,bullish,1.0411119626553853,q2,"(70.0, 100.0]"
45,v17,45,short,RevShort,2024-02-27 02:15:00,56356.770000000004,0.17241834189107708,0,-2,breakout_long_tp,rev_short,5481,56355.13,56567.99,56178.44,56356.8,1371.4175,85.56991614891017,190.3841296887289,0.003378192688171239,51567.69959764272,52826.1628792901,50309.23631599533,54084.626160937485,49050.77303434794,402.70825012716347,5033.8531265895435,2,2024-02,bullish,0.002963262640897868,q2,"(70.0, 100.0]"
46,v17,46,long,TrendLong,2024-02-28 15:15:00,61117.85,0.15085778271300723,0,1,breakout_up,,5629,61201.4,61360.0,60901.11,61117.82,1982.26752,77.89577060513076,282.7813861635021,0.004626823832451846,54191.61750576705,55617.23122452064,52766.00378701347,57042.84494327423,51340.3900682599,456.19639000114637,5702.454875014329,15,2024-02,bearish,0.13675225981555256,q4_high,"(70.0, 100.0]"
47,v17,47,short,RevShort,2024-02-28 16:30:00,61674.98,0.15080389114599901,0,-2,breakout_long_tp,rev_short,5634,61408.88,61793.53,61288.95,61675.01,1342.20895,78.80768983376686,291.7864966555617,0.00473103282278449,54318.61234320883,55749.62607722947,52887.59860918819,57180.63981125011,51456.584875167566,457.9243948866037,5724.054936082546,16,2024-02,bullish,0.4315037808668449,q4_high,"(70.0, 100.0]"
48,v17,48,short,Short1,2024-03-01 09:30:00,62057.94,0.015007805353881472,1,0,,,5798,62131.09,62185.99,62040.0,62057.97,393.70589,61.08334206837473,366.1809405402068,0.005900627115908026,59356.47816098074,60917.70547003462,57795.25085192686,62478.9327790885,56234.02354287298,499.59273889724165,6244.909236215521,9,2024-03,bearish,0.11782531719937882,q4_high,"(60.0, 70.0]"
49,v17,49,short,Short2,2024-03-01 09:30:00,62057.94,0.06002905739057654,2,0,,,5798,62131.09,62185.99,62040.0,62057.97,393.70589,61.08334206837473,366.1809405402068,0.005900627115908026,59356.47816098074,60917.70547003462,57795.25085192686,62478.9327790885,56234.02354287298,499.59273889724165,6244.909236215521,9,2024-03,bearish,0.11782531719937882,q4_high,"(60.0, 70.0]"
50,v17,50,short,Short1,2024-03-01 21:00:00,62721.73,0.014863778650099397,1,0,,,5844,62861.1,62884.36,62258.83,62721.76,1053.0811,63.02436428980751,335.5344189265517,0.005349569574044984,60262.175759638485,61792.90209690183,58731.44942237514,63323.62843416517,57200.723085111786,489.83242792427075,6122.905349053384,21,2024-03,bearish,0.22215575583337666,q4_high,"(60.0, 70.0]"
51,v17,51,short,Short1,2024-03-03 22:30:00,63072.090000000004,0.0295691639686733,1,0,,,6042,63145.17,63220.37,63001.46,63072.12,346.36383,64.76792832947953,184.0988010708877,0.002918861789819142,61914.67291245972,63475.265790962505,60354.08003395694,65035.85866946529,58793.48715545416,499.3897211208905,6242.371514011131,22,2024-03,bearish,0.11581979486339705,q2,"(60.0, 70.0]"
52,v17,53,short,Short1,2024-03-04 07:45:00,64066.590000000004,0.01453510738261844,1,0,,,6079,64123.14,64300.0,63856.82,64066.62,1100.29564,63.934154111585045,228.05068814525148,0.0035595866949942336,62073.49886372789,63599.90785734132,60547.08987011444,65126.316850954754,59020.68087650099,488.450877956301,6105.635974453762,7,2024-03,bearish,0.08822066779860838,q2,"(60.0, 70.0]"
53,v17,52,short,Short2,2024-03-04 11:00:00,65035.56,0.05718550262737584,2,0,,,6092,65068.18,65179.56,65008.54,65035.59,463.88046,62.87709205450518,257.4744715856743,0.003958978023966175,62173.63020695141,63698.669728692155,60648.59068521064,65223.70925043289,59123.55116346986,488.0126469570422,6100.158086963027,11,2024-03,bearish,0.05011102382557579,q3,"(60.0, 70.0]"
54,v17,54,short,Short1,2024-03-04 18:00:00,66691.06,0.01389308467755143,1,0,,,6120,66858.74,67080.0,66291.1,66691.09,1234.46845,60.504444481158465,319.119996112859,0.004785046939746509,62449.363129256264,63975.688105098234,60923.0381534143,65502.01308094021,59396.71317757234,488.42399226942973,6105.299903367872,18,2024-03,bearish,0.25138290587244677,q4_high,"(60.0, 70.0]"
55,v17,55,long,TrendLong,2024-03-04 22:45:00,67929.14,0.13640401659055829,0,1,breakout_up,,6139,67762.14,67929.12,67693.43,67929.11,519.56596,66.11732890547538,343.29624461375386,0.0050537427122739256,62706.72646111761,64234.7121183249,61178.740803910325,65762.69777553219,59650.75514670304,488.9554103063315,6111.942628829143,22,2024-03,bullish,0.24580036452708,q4_high,"(60.0, 70.0]"
56,v17,56,long,TrendLong,2024-03-05 03:45:00,68113.97,0.13614580972526014,0,1,breakout_up,,6159,68179.25,68223.3,68094.51,68113.94,431.05752,54.28805438001084,363.60134552700396,0.005338134096001552,63030.11488335132,64556.40854056229,61503.82122614036,66082.70219777327,59977.5275689294,488.4139703075093,6105.174628843866,3,2024-03,bearish,0.0958834564554593,q4_high,"(50.0, 60.0]"
57,v17,57,short,Short1,2024-03-05 13:15:00,67649.79000000001,0.01335488333508919,1,0,,,6197,67832.02,68025.94,67641.1,67649.82,1176.18559,60.48826801779241,387.0111028168769,0.005720800185674949,63662.00829516938,65220.31582375459,62103.700766584174,66778.6233523398,60545.39323799897,498.65840914726607,6233.230114340826,13,2024-03,bearish,0.2693281371628144,q4_high,"(60.0, 70.0]"
58,v17,58,short,Short1,2024-03-06 06:00:00,66305.11,0.013611294779134621,1,0,,,6264,66406.8,66524.0,66040.78,66305.14,1195.38291,72.94143324843331,584.2065189540557,0.008810878296223425,64422.30195479554,66127.0587627839,62717.5451468072,67831.81557077225,61012.78833881886,545.5221785562712,6819.027231953391,6,2024-03,bearish,0.15332144687425966,q4_high,"(70.0, 100.0]"
59,v17,59,short,Short1,2024-03-06 11:30:00,67046.73,0.01346242158226897,1,0,,,6286,67073.68,67133.88,66744.0,67046.76,637.29317,63.28686585396831,559.5424189313561,0.008345554937052233,64653.62480346345,66369.69594054506,62937.55366638184,68085.76707762666,61221.482529300236,549.142763866114,6864.284548326425,11,2024-03,bearish,0.04015108261756162,q4_high,"(60.0, 70.0]"
60,v17,60,short,Short1,2024-03-07 14:30:00,67195.99,0.02687083826003625,1,0,,,6394,67249.59,67899.0,66801.33,67196.02,2929.47904,63.05373863915721,403.59130667275105,0.00600617873904959,65972.13496255787,67646.75856937855,64297.511355737195,69321.38217619921,62622.88774891652,535.8795541826158,6698.494427282698,14,2024-03,bearish,0.07972198353413257,q4_high,"(60.0, 70.0]"
61,v17,61,short,Short1,2024-03-07 17:45:00,67592.89,0.026722807402121265,1,0,,,6407,67825.0,67825.01,67406.96,67592.92,649.38506,60.849068236664024,404.99143313981995,0.005991625056881993,66075.93700537115,67741.26462858517,64410.60938215713,69406.59225179917,62745.28175894311,532.9048394284852,6661.310492856064,17,2024-03,bearish,0.3433495697478401,q4_high,"(60.0, 70.0]"
62,v17,62,short,Short1,2024-03-08 14:00:00,67752.74,0.026668773274768735,1,0,,,6488,67770.95,68000.0,67550.85,67752.77,998.97014,61.917519056935646,280.6639905369818,0.004142472559232365,66250.10222419573,67878.76848145874,64621.43596693273,69507.43473872177,62992.76970966974,521.1732023241627,6514.665029052034,14,2024-03,bearish,0.02683285126201189,q3,"(60.0, 70.0]"
63,v17,63,short,Short1,2024-03-08 20:15:00,69008.38,0.013071656584829188,1,0,,,6513,69068.48,69320.0,68816.0,69008.41,1115.92685,61.478387337586504,380.01399575712276,0.00550677802541926,66299.92287876217,67932.03430351084,64667.811454013514,69564.14572825951,63035.70002926485,522.2756559195725,6528.445698994656,20,2024-03,bearish,0.08704736132884736,q4_high,"(60.0, 70.0]"
64,v17,64,short,Short1,2024-03-10 01:15:00,68887.97,0.026194980964552406,1,0,,,6629,68939.41,69216.0,68842.0,68888.0,1289.2454,71.01492148305138,197.36720367598446,0.002865044763616079,67405.12386544346,69102.26167695684,65707.98605393009,70799.39948847021,64010.84824241671,543.0840996842802,6788.551246053503,1,2024-03,bearish,0.07462838230171219,q1_low,"(70.0, 100.0]"
65,v17,66,short,Short1,2024-03-11 08:30:00,71208.08,0.01267339732531319,1,0,,,6754,71496.01,71628.51,71118.24,71208.11,914.73108,77.9840699559629,277.8636051108892,0.0039021342528384644,68386.09324253829,70076.15941782983,66696.02706724676,71766.22559312137,65005.96089195521,540.8211760932929,6760.264701166161,8,2024-03,bearish,0.40430788009960406,q3,"(70.0, 100.0]"
66,v17,67,short,Short2,2024-03-11 11:45:00,71487.17,0.0504740676826062,2,0,,,6767,72042.0,72226.3,71270.09,71487.2,2430.070826,61.073417361878995,286.429462755248,0.0040067237597115005,68504.47310923043,70199.20703333287,66809.73918512801,71893.9409574353,65115.00526102561,542.3148557127756,6778.935696409695,11,2024-03,bearish,0.7760829910809248,q3,"(60.0, 70.0]"
67,v17,65,short,Short3,2024-03-11 15:15:00,72421.07,0.04949027577285934,3,0,,,6781,72464.58,72493.89,72202.0,72421.1,742.33379,63.06055454913886,312.8888693827254,0.004320410341498891,68668.17136088728,70369.54317817734,66966.79954359721,72070.91499546739,65265.427726307156,544.4389815328188,6805.487269160236,15,2024-03,bearish,0.06003775142879068,q3,"(60.0, 70.0]"
68,v17,68,short,Short1,2024-03-13 02:00:00,71967.99,0.02498531217310259,1,0,,,6920,72005.38,72079.8,71870.0,71968.02,384.45815,63.888422940460934,363.1750125684056,0.005046338812272528,70373.80733431398,72103.14533194165,68644.4693366863,73832.48332956931,66915.13133905864,553.3881592408533,6917.351990510666,2,2024-03,bearish,0.05191194644510239,q4_high,"(60.0, 70.0]"
69,v17,69,short,Short1,2024-03-14 06:30:00,73512.57,0.012197128867852446,1,0,,,7034,73573.13,73600.0,73221.33,73512.6,537.21921,60.35562588448425,288.4993904884828,0.003924489005809654,71708.7160041075,73427.6261735805,69989.80583463452,75146.53634305349,68270.89566516154,550.0512542313559,6875.640677891948,6,2024-03,bearish,0.08233962613211726,q3,"(60.0, 70.0]"
70,v17,70,long,Long1,2024-03-14 19:45:00,69415.12,0.012969137780037412,1,0,,,7087,68990.01,69879.0,68952.9,69415.09,2361.86278,30.903591380698913,393.9011162109495,0.005674574738878096,72218.87401278861,73935.35091094095,70502.39711463626,75651.82780909329,68785.9202164839,549.2726074087515,6865.907592609394,19,2024-03,bullish,0.6123740529616857,q4_high,"(30.0, 40.0]"
